"a","4506","(indefinite article,noun,preposition)","ا"
"ability","61","(noun)","القدرة"
"able","74","(adjective)","قادر"
"about","451","(preposition,adverb,adjective)","حول"
"above","40","(adverb,preposition,adjective,noun)","في الاعلى"
"abroad","2","(adverb,noun)","خارج البلاد"
"absolutely","5","(adverb,interjection)","إطلاقا"
"abuse","10","(verb,noun)","إساءة"
"accept","11","(verb)","قبول"
"acceptable","5","(adjective)","مقبول"
"access","41","(noun,verb,adjective)","التمكن من"
"accident","3","(noun)","حادث"
"according","40","(adjective,verb)","علي حسب"
"account","22","(noun,verb)","الحساب"
"accurate","12","(adjective)","دقيق"
"accuse","1","(verb)","اتهم"
"achieve","20","(verb)","التوصل"
"acquire","4","(verb)","يكتسب"
"across","36","(preposition,adverb,adjective)","عبر"
"act","28","(noun,verb)","فعل"
"action","37","(noun,adjective)","عمل"
"active","23","(adjective,noun)","نشيط"
"activity","48","(noun)","نشاط"
"actor","7","(noun)","الممثل"
"actual","26","(adjective)","فعلي"
"actually","46","(adverb)","في الواقع"
"ad","11","(noun)","ميلادي"
"adapt","4","(verb)","تكيف"
"add","60","(verb)","إضافة"
"addition","21","(noun)","إضافة"
"additional","41","(adjective)","إضافي"
"address","20","(noun,verb)","عنوان"
"adjust","4","(verb)","يعدل"
"administration","10","(noun)","الادارة"
"administrative","4","(adjective)","إداري"
"admire","1","(verb)","معجب"
"admit","1","(verb)","يعترف"
"adopt","1","(verb)","تبنى"
"adult","5","(adjective,noun)","بالغ"
"advance","9","(verb,noun,adjective)","تقدم"
"advanced","12","(past,verb,adjective,noun)","المتقدمة"
"advantage","24","(noun,verb)","أفضلية"
"advertising","22","(noun)","إعلان"
"advice","14","(noun)","النصيحة"
"affair","1","(noun)","قضية"
"affect","22","(verb,noun)","تؤثر"
"afford","14","(verb)","تحمل"
"afraid","7","(adjective)","خائف"
"after","110","(preposition,adjective,adverb)","بعد"
"afternoon","7","(noun,adjective)","بعد الظهر"
"again","44","(adverb)","مرة أخرى"
"against","46","(preposition)","ضد"
"age","37","(noun,verb)","عمر"
"agency","11","(noun)","وكالة"
"agent","6","(noun,adjective,verb)","وكيل"
"aggressive","5","(adjective)","العدواني"
"ago","22","(adjective,adverb)","منذ"
"agree","14","(verb)","يوافق على"
"agreement","8","(noun)","اتفاقية"
"ahead","16","(adverb)","المكانية"
"air","98","(noun,verb)","هواء"
"airline","5","(noun,adjective)","شركة طيران"
"airport","3","(noun)","مطار"
"alarm","2","(noun,verb)","إنذار"
"alcohol","9","(noun)","كحول"
"alive","3","(adjective)","على قيد الحياة"
"all","438","(adjective,pronoun,noun,adverb)","الكل"
"allow","35","(verb)","السماح"
"almost","41","(adverb)","تقريبيا"
"alone","18","(adjective,adverb)","وحده"
"along","45","(preposition,adverb)","على طول"
"already","36","(adverb)","سابقا"
"also","419","(adverb)","أيضا"
"alternative","39","(adjective,noun)","لبديل"
"although","78","(conjunction)","برغم من"
"altogether","4","(adverb)","تماما"
"always","69","(adverb)","دائما"
"amazing","7","(adjective,verb)","رائعة حقا"
"ambition","1","(noun)","طموح"
"among","37","(preposition)","من بين"
"amount","51","(noun,verb)","كمية"
"an","754","(indefinite article)","ل"
"analysis","34","(noun)","تحليل"
"analyst","1","(noun)","المحلل"
"and","5196","(conjunction)","و"
