a,4506,"(indefinite article,noun,preposition)"
ability,61,(noun)
able,74,(adjective)
about,451,"(preposition,adverb,adjective)"
above,40,"(adverb,preposition,adjective,noun)"
abroad,2,"(adverb,noun)"
absolutely,5,"(adverb,interjection)"
abuse,10,"(verb,noun)"
accept,11,(verb)
acceptable,5,(adjective)
access,41,"(noun,verb,adjective)"
accident,3,(noun)
according,40,"(adjective,verb)"
account,22,"(noun,verb)"
accurate,12,(adjective)
accuse,1,(verb)
achieve,20,(verb)
acquire,4,(verb)
across,36,"(preposition,adverb,adjective)"
act,28,"(noun,verb)"
action,37,"(noun,adjective)"
active,23,"(adjective,noun)"
activity,48,(noun)
actor,7,(noun)
actual,26,(adjective)
actually,46,(adverb)
ad,11,(noun)
adapt,4,(verb)
add,60,(verb)
addition,21,(noun)
additional,41,(adjective)
address,20,"(noun,verb)"
adjust,4,(verb)
administration,10,(noun)
administrative,4,(adjective)
admire,1,(verb)
admit,1,(verb)
adopt,1,(verb)
adult,5,"(adjective,noun)"
advance,9,"(verb,noun,adjective)"
advanced,12,"(past,verb,adjective,noun)"
advantage,24,"(noun,verb)"
advertising,22,(noun)
advice,14,(noun)
affair,1,(noun)
affect,22,"(verb,noun)"
afford,14,(verb)
afraid,7,(adjective)
after,110,"(preposition,adjective,adverb)"
afternoon,7,"(noun,adjective)"
again,44,(adverb)
against,46,(preposition)
age,37,"(noun,verb)"
agency,11,(noun)
agent,6,"(noun,adjective,verb)"
aggressive,5,(adjective)
ago,22,"(adjective,adverb)"
agree,14,(verb)
agreement,8,(noun)
ahead,16,(adverb)
air,98,"(noun,verb)"
airline,5,"(noun,adjective)"
airport,3,(noun)
alarm,2,"(noun,verb)"
alcohol,9,(noun)
alive,3,(adjective)
all,438,"(adjective,pronoun,noun,adverb)"
allow,35,(verb)
almost,41,(adverb)
alone,18,"(adjective,adverb)"
along,45,"(preposition,adverb)"
already,36,(adverb)
also,419,(adverb)
alternative,39,"(adjective,noun)"
although,78,(conjunction)
altogether,4,(adverb)
always,69,(adverb)
amazing,7,"(adjective,verb)"
ambition,1,(noun)
among,37,(preposition)
amount,51,"(noun,verb)"
an,754,(indefinite article)
analysis,34,(noun)
analyst,1,(noun)
and,5196,(conjunction)
anger,1,"(noun,verb)"
angle,8,"(noun,verb)"
angry,3,(adjective)
animal,13,"(noun,adjective)"
announce,1,(verb)
annual,7,"(adjective,noun)"
another,123,"(adjective,pronoun)"
answer,45,"(noun,verb)"
anticipate,7,(verb)
anxiety,6,(noun)
anxious,2,(adjective)
any,190,"(adjective,adverb)"
anybody,1,"(pronoun,noun)"
anyone,22,(pronoun)
anything,19,"(pronoun,noun,adverb)"
anyway,4,(adverb)
anywhere,9,"(adverb,noun)"
apart,5,"(adjective,adverb)"
apartment,21,(noun)
apologize,1,(verb)
appeal,10,"(noun,verb)"
appear,15,(verb)
appearance,15,(noun)
apple,1,(noun)
application,13,(noun)
apply,13,(verb)
appointment,3,(noun)
appreciate,10,(verb)
approach,22,(verb)
appropriate,26,"(verb,adjective)"
approve,1,(verb)
are,1843,(verb)
area,50,(noun)
argue,4,(verb)
argument,9,(noun)
arise,4,(verb)
arm,4,"(noun,verb)"
army,32,(noun)
around,101,"(adverb,preposition)"
arrival,3,(noun)
arrive,2,(verb)
art,183,(noun)
article,28,(noun)
as,1363,"(adverb,conjunction,pronoun,preposition)"
aside,4,"(noun,adverb)"
ask,42,"(verb,noun)"
asleep,1,(adjective)
aspect,10,(noun)
assignment,1,(noun)
assist,3,"(noun,verb)"
assistance,2,(noun)
